2026-04-26-05-26: epoch: 1 |loss 0.209264 | LProb 0.209264 | LRC 0.833174 | LFunc 0.578855 | time 5.683333 | loss 0.068849 | LProb 0.068849 | LRC 0.783834 | LFunc 0.607351 | time 0.533333 | ACC 0.726875 | 
2026-04-26-05-32: epoch: 2 |loss 0.138190 | LProb 0.138190 | LRC 0.837179 | LFunc 0.592991 | time 5.566667 | loss 0.066665 | LProb 0.066665 | LRC 0.830339 | LFunc 0.631806 | time 0.500000 | ACC 0.729375 | 
2026-04-26-05-39: epoch: 3 |loss 0.115670 | LProb 0.115670 | LRC 0.836516 | LFunc 0.624819 | time 5.583333 | loss 0.058836 | LProb 0.058836 | LRC 0.795795 | LFunc 0.655133 | time 0.500000 | ACC 0.748750 | 
2026-04-26-05-45: epoch: 4 |loss 0.099624 | LProb 0.099624 | LRC 0.837045 | LFunc 0.645842 | time 5.650000 | loss 0.054545 | LProb 0.054545 | LRC 0.802996 | LFunc 0.667673 | time 0.500000 | ACC 0.713125 | 
2026-04-26-05-51: epoch: 5 |loss 0.088117 | LProb 0.088117 | LRC 0.835906 | LFunc 0.656993 | time 5.600000 | loss 0.050859 | LProb 0.050859 | LRC 0.811530 | LFunc 0.674869 | time 0.500000 | ACC 0.718750 | 
2026-04-26-05-57: epoch: 6 |loss 0.078204 | LProb 0.078204 | LRC 0.835964 | LFunc 0.663931 | time 5.583333 | loss 0.052777 | LProb 0.052777 | LRC 0.818334 | LFunc 0.682880 | time 0.500000 | ACC 0.735000 | 
2026-04-26-06-03: epoch: 7 |loss 0.070305 | LProb 0.070305 | LRC 0.835497 | LFunc 0.669162 | time 5.583333 | loss 0.050277 | LProb 0.050277 | LRC 0.826882 | LFunc 0.689174 | time 0.500000 | ACC 0.690000 | 
2026-04-26-06-09: epoch: 8 |loss 0.065519 | LProb 0.065519 | LRC 0.836743 | LFunc 0.671155 | time 5.566667 | loss 0.046712 | LProb 0.046712 | LRC 0.811749 | LFunc 0.690945 | time 0.500000 | ACC 0.719375 | 
2026-04-26-06-15: epoch: 9 |loss 0.061408 | LProb 0.061408 | LRC 0.833730 | LFunc 0.676366 | time 5.583333 | loss 0.045045 | LProb 0.045045 | LRC 0.800532 | LFunc 0.693318 | time 0.500000 | ACC 0.677500 | 
2026-04-26-06-21: epoch: 10 |loss 0.057923 | LProb 0.057923 | LRC 0.834523 | LFunc 0.681389 | time 5.566667 | loss 0.044431 | LProb 0.044431 | LRC 0.803462 | LFunc 0.696057 | time 0.500000 | ACC 0.731250 | 
2026-04-26-06-27: epoch: 11 |loss 0.055505 | LProb 0.055505 | LRC 0.837847 | LFunc 0.681121 | time 5.566667 | loss 0.044929 | LProb 0.044929 | LRC 0.835799 | LFunc 0.699138 | time 0.500000 | ACC 0.728750 | 
2026-04-26-06-34: epoch: 12 |loss 0.053170 | LProb 0.053170 | LRC 0.835704 | LFunc 0.681008 | time 5.583333 | loss 0.045309 | LProb 0.045309 | LRC 0.834081 | LFunc 0.701596 | time 0.500000 | ACC 0.704375 | 
2026-04-26-06-40: epoch: 13 |loss 0.051100 | LProb 0.051100 | LRC 0.834822 | LFunc 0.684061 | time 5.600000 | loss 0.043438 | LProb 0.043438 | LRC 0.802612 | LFunc 0.702955 | time 0.500000 | ACC 0.721875 | 
2026-04-26-06-46: epoch: 14 |loss 0.049517 | LProb 0.049517 | LRC 0.835697 | LFunc 0.688686 | time 5.616667 | loss 0.043866 | LProb 0.043866 | LRC 0.805285 | LFunc 0.705022 | time 0.500000 | ACC 0.691875 | 
2026-04-26-06-52: epoch: 15 |loss 0.048173 | LProb 0.048173 | LRC 0.836755 | LFunc 0.696842 | time 5.633333 | loss 0.043552 | LProb 0.043552 | LRC 0.777711 | LFunc 0.705330 | time 0.483333 | ACC 0.730000 | 
2026-04-26-06-58: epoch: 16 |loss 0.046951 | LProb 0.046951 | LRC 0.837606 | LFunc 0.687935 | time 5.600000 | loss 0.041420 | LProb 0.041420 | LRC 0.802202 | LFunc 0.705360 | time 0.500000 | ACC 0.733125 | 
2026-04-26-07-04: epoch: 17 |loss 0.046842 | LProb 0.046842 | LRC 0.839205 | LFunc 0.686817 | time 5.600000 | loss 0.040075 | LProb 0.040075 | LRC 0.829619 | LFunc 0.705126 | time 0.500000 | ACC 0.717500 | 
2026-04-26-07-10: epoch: 18 |loss 0.046774 | LProb 0.046774 | LRC 0.837266 | LFunc 0.689302 | time 5.566667 | loss 0.038883 | LProb 0.038883 | LRC 0.812768 | LFunc 0.705508 | time 0.500000 | ACC 0.706875 | 
2026-04-26-07-16: epoch: 19 |loss 0.046691 | LProb 0.046691 | LRC 0.836142 | LFunc 0.681173 | time 5.566667 | loss 0.037188 | LProb 0.037188 | LRC 0.818488 | LFunc 0.705749 | time 0.500000 | ACC 0.743750 | 
2026-04-26-07-22: epoch: 20 |loss 0.046589 | LProb 0.046589 | LRC 0.835958 | LFunc 0.691375 | time 5.583333 | loss 0.043021 | LProb 0.043021 | LRC 0.822064 | LFunc 0.705312 | time 0.500000 | ACC 0.710000 | 
