2026-04-26-01-41: epoch: 1 |loss 0.349409 | LProb 0.349409 | LRC 0.783844 | LFunc 0.578178 | time 8.116667 | loss 0.187352 | LProb 0.187352 | LRC 0.757067 | LFunc 0.597999 | time 0.750000 | ACC 0.761875 | 
2026-04-26-01-50: epoch: 2 |loss 0.200922 | LProb 0.200922 | LRC 0.783208 | LFunc 0.576590 | time 8.050000 | loss 0.079849 | LProb 0.079849 | LRC 0.776205 | LFunc 0.604804 | time 0.700000 | ACC 0.731250 | 
2026-04-26-01-59: epoch: 3 |loss 0.155350 | LProb 0.155350 | LRC 0.780904 | LFunc 0.585953 | time 8.016667 | loss 0.068407 | LProb 0.068407 | LRC 0.779301 | LFunc 0.611431 | time 0.700000 | ACC 0.761250 | 
2026-04-26-02-08: epoch: 4 |loss 0.137381 | LProb 0.137381 | LRC 0.782686 | LFunc 0.591953 | time 8.016667 | loss 0.061144 | LProb 0.061144 | LRC 0.784989 | LFunc 0.617299 | time 0.700000 | ACC 0.731250 | 
2026-04-26-02-16: epoch: 5 |loss 0.125146 | LProb 0.125146 | LRC 0.777483 | LFunc 0.598069 | time 8.016667 | loss 0.053612 | LProb 0.053612 | LRC 0.784489 | LFunc 0.623852 | time 0.700000 | ACC 0.750625 | 
2026-04-26-02-25: epoch: 6 |loss 0.115925 | LProb 0.115925 | LRC 0.782933 | LFunc 0.604538 | time 8.016667 | loss 0.059008 | LProb 0.059008 | LRC 0.767866 | LFunc 0.631148 | time 0.700000 | ACC 0.754375 | 
2026-04-26-02-34: epoch: 7 |loss 0.108455 | LProb 0.108455 | LRC 0.782366 | LFunc 0.606082 | time 8.050000 | loss 0.059695 | LProb 0.059695 | LRC 0.742571 | LFunc 0.631110 | time 0.700000 | ACC 0.731250 | 
2026-04-26-02-43: epoch: 8 |loss 0.102515 | LProb 0.102515 | LRC 0.783436 | LFunc 0.606438 | time 8.016667 | loss 0.054111 | LProb 0.054111 | LRC 0.775280 | LFunc 0.631253 | time 0.700000 | ACC 0.755000 | 
2026-04-26-02-51: epoch: 9 |loss 0.096859 | LProb 0.096859 | LRC 0.783050 | LFunc 0.610022 | time 8.000000 | loss 0.045373 | LProb 0.045373 | LRC 0.764269 | LFunc 0.635203 | time 0.700000 | ACC 0.730625 | 
2026-04-26-03-00: epoch: 10 |loss 0.091247 | LProb 0.091247 | LRC 0.781215 | LFunc 0.615545 | time 8.050000 | loss 0.048734 | LProb 0.048734 | LRC 0.779548 | LFunc 0.634381 | time 0.700000 | ACC 0.761875 | 
2026-04-26-03-09: epoch: 11 |loss 0.086074 | LProb 0.086074 | LRC 0.780744 | LFunc 0.612015 | time 8.066667 | loss 0.044429 | LProb 0.044429 | LRC 0.741299 | LFunc 0.637008 | time 0.700000 | ACC 0.763750 | 
2026-04-26-03-18: epoch: 12 |loss 0.081542 | LProb 0.081542 | LRC 0.781909 | LFunc 0.611384 | time 8.066667 | loss 0.052038 | LProb 0.052038 | LRC 0.777344 | LFunc 0.635906 | time 0.700000 | ACC 0.744375 | 
2026-04-26-03-26: epoch: 13 |loss 0.077101 | LProb 0.077101 | LRC 0.781692 | LFunc 0.612538 | time 8.066667 | loss 0.050171 | LProb 0.050171 | LRC 0.758809 | LFunc 0.637281 | time 0.700000 | ACC 0.758125 | 
2026-04-26-03-35: epoch: 14 |loss 0.073016 | LProb 0.073016 | LRC 0.782296 | LFunc 0.615422 | time 8.066667 | loss 0.049313 | LProb 0.049313 | LRC 0.767890 | LFunc 0.638669 | time 0.700000 | ACC 0.724375 | 
2026-04-26-03-44: epoch: 15 |loss 0.069266 | LProb 0.069266 | LRC 0.783265 | LFunc 0.621154 | time 8.083333 | loss 0.045915 | LProb 0.045915 | LRC 0.750039 | LFunc 0.638580 | time 0.700000 | ACC 0.760000 | 
2026-04-26-03-53: epoch: 16 |loss 0.066977 | LProb 0.066977 | LRC 0.781379 | LFunc 0.613066 | time 8.066667 | loss 0.048202 | LProb 0.048202 | LRC 0.770037 | LFunc 0.638035 | time 0.700000 | ACC 0.768125 | 
2026-04-26-04-02: epoch: 17 |loss 0.066581 | LProb 0.066581 | LRC 0.779770 | LFunc 0.612236 | time 8.083333 | loss 0.043624 | LProb 0.043624 | LRC 0.751849 | LFunc 0.638723 | time 0.716667 | ACC 0.753125 | 
2026-04-26-04-10: epoch: 18 |loss 0.066379 | LProb 0.066379 | LRC 0.779873 | LFunc 0.614784 | time 8.050000 | loss 0.041870 | LProb 0.041870 | LRC 0.755269 | LFunc 0.639060 | time 0.700000 | ACC 0.734375 | 
2026-04-26-04-19: epoch: 19 |loss 0.066022 | LProb 0.066022 | LRC 0.781252 | LFunc 0.609258 | time 8.016667 | loss 0.040581 | LProb 0.040581 | LRC 0.778477 | LFunc 0.639383 | time 0.700000 | ACC 0.766250 | 
2026-04-26-04-28: epoch: 20 |loss 0.065511 | LProb 0.065511 | LRC 0.779573 | LFunc 0.617905 | time 7.983333 | loss 0.045989 | LProb 0.045989 | LRC 0.779179 | LFunc 0.639121 | time 0.700000 | ACC 0.751875 | 
