2026-04-26-01-39: epoch: 1 |loss 0.328118 | LProb 0.328118 | LRC 0.782064 | LFunc 0.595162 | time 6.033333 | loss 0.161561 | LProb 0.161561 | LRC 0.762722 | LFunc 0.608792 | time 0.516667 | ACC 0.744375 | 
2026-04-26-01-45: epoch: 2 |loss 0.217595 | LProb 0.217595 | LRC 0.782028 | LFunc 0.584026 | time 5.116667 | loss 0.122099 | LProb 0.122099 | LRC 0.750473 | LFunc 0.604925 | time 0.483333 | ACC 0.745000 | 
2026-04-26-01-50: epoch: 3 |loss 0.180178 | LProb 0.180178 | LRC 0.784448 | LFunc 0.589372 | time 5.116667 | loss 0.083134 | LProb 0.083134 | LRC 0.775144 | LFunc 0.626074 | time 0.483333 | ACC 0.707500 | 
2026-04-26-01-56: epoch: 4 |loss 0.148870 | LProb 0.148870 | LRC 0.782903 | LFunc 0.615693 | time 5.133333 | loss 0.072623 | LProb 0.072623 | LRC 0.762561 | LFunc 0.641212 | time 0.483333 | ACC 0.701875 | 
2026-04-26-02-01: epoch: 5 |loss 0.134238 | LProb 0.134238 | LRC 0.782370 | LFunc 0.627700 | time 5.116667 | loss 0.063259 | LProb 0.063259 | LRC 0.767172 | LFunc 0.649012 | time 0.483333 | ACC 0.735625 | 
2026-04-26-02-07: epoch: 6 |loss 0.122670 | LProb 0.122670 | LRC 0.782364 | LFunc 0.632393 | time 5.116667 | loss 0.058147 | LProb 0.058147 | LRC 0.787934 | LFunc 0.651704 | time 0.483333 | ACC 0.743750 | 
2026-04-26-02-13: epoch: 7 |loss 0.113299 | LProb 0.113299 | LRC 0.783716 | LFunc 0.632215 | time 5.133333 | loss 0.052839 | LProb 0.052839 | LRC 0.762659 | LFunc 0.653094 | time 0.483333 | ACC 0.726250 | 
2026-04-26-02-18: epoch: 8 |loss 0.105301 | LProb 0.105301 | LRC 0.782783 | LFunc 0.632105 | time 5.150000 | loss 0.048800 | LProb 0.048800 | LRC 0.781805 | LFunc 0.653606 | time 0.483333 | ACC 0.740625 | 
2026-04-26-02-24: epoch: 9 |loss 0.098322 | LProb 0.098322 | LRC 0.783441 | LFunc 0.636888 | time 5.133333 | loss 0.044373 | LProb 0.044373 | LRC 0.771043 | LFunc 0.657113 | time 0.483333 | ACC 0.720625 | 
2026-04-26-02-30: epoch: 10 |loss 0.091944 | LProb 0.091944 | LRC 0.780200 | LFunc 0.644003 | time 5.183333 | loss 0.045285 | LProb 0.045285 | LRC 0.765975 | LFunc 0.660845 | time 0.483333 | ACC 0.754375 | 
2026-04-26-02-35: epoch: 11 |loss 0.086493 | LProb 0.086493 | LRC 0.784421 | LFunc 0.645065 | time 5.133333 | loss 0.043192 | LProb 0.043192 | LRC 0.745508 | LFunc 0.666537 | time 0.483333 | ACC 0.764375 | 
2026-04-26-02-41: epoch: 12 |loss 0.081626 | LProb 0.081626 | LRC 0.784873 | LFunc 0.649114 | time 5.133333 | loss 0.047474 | LProb 0.047474 | LRC 0.775472 | LFunc 0.669691 | time 0.483333 | ACC 0.732500 | 
2026-04-26-02-47: epoch: 13 |loss 0.076923 | LProb 0.076923 | LRC 0.782070 | LFunc 0.655794 | time 5.150000 | loss 0.045080 | LProb 0.045080 | LRC 0.767057 | LFunc 0.676615 | time 0.483333 | ACC 0.753125 | 
2026-04-26-02-52: epoch: 14 |loss 0.072876 | LProb 0.072876 | LRC 0.783314 | LFunc 0.663512 | time 5.133333 | loss 0.044098 | LProb 0.044098 | LRC 0.792331 | LFunc 0.680592 | time 0.483333 | ACC 0.736875 | 
2026-04-26-02-58: epoch: 15 |loss 0.068906 | LProb 0.068906 | LRC 0.784453 | LFunc 0.673564 | time 5.133333 | loss 0.039630 | LProb 0.039630 | LRC 0.766719 | LFunc 0.686094 | time 0.483333 | ACC 0.749375 | 
2026-04-26-03-03: epoch: 16 |loss 0.066717 | LProb 0.066717 | LRC 0.786228 | LFunc 0.669177 | time 5.166667 | loss 0.042071 | LProb 0.042071 | LRC 0.771310 | LFunc 0.684847 | time 0.483333 | ACC 0.756250 | 
2026-04-26-03-09: epoch: 17 |loss 0.066255 | LProb 0.066255 | LRC 0.783393 | LFunc 0.667911 | time 5.166667 | loss 0.038547 | LProb 0.038547 | LRC 0.788019 | LFunc 0.685388 | time 0.483333 | ACC 0.740625 | 
2026-04-26-03-15: epoch: 18 |loss 0.065952 | LProb 0.065952 | LRC 0.783820 | LFunc 0.670322 | time 5.150000 | loss 0.037150 | LProb 0.037150 | LRC 0.750070 | LFunc 0.685121 | time 0.483333 | ACC 0.720625 | 
2026-04-26-03-20: epoch: 19 |loss 0.065677 | LProb 0.065677 | LRC 0.784777 | LFunc 0.664810 | time 5.200000 | loss 0.035534 | LProb 0.035534 | LRC 0.768761 | LFunc 0.685743 | time 0.483333 | ACC 0.757500 | 
2026-04-26-03-26: epoch: 20 |loss 0.065160 | LProb 0.065160 | LRC 0.780945 | LFunc 0.674134 | time 5.150000 | loss 0.039995 | LProb 0.039995 | LRC 0.805295 | LFunc 0.686431 | time 0.483333 | ACC 0.741875 | 
