2026-04-26-10-31: epoch: 1 |loss 0.238003 | LProb 0.063847 | LRC 0.760471 | LFunc 0.614008 | time 8.050000 | loss 0.212400 | LProb 0.043004 | LRC 0.720588 | LFunc 0.639634 | time 0.733333 | ACC 0.745625 | 
2026-04-26-10-40: epoch: 2 |loss 0.225934 | LProb 0.059770 | LRC 0.724429 | LFunc 0.615392 | time 7.983333 | loss 0.206698 | LProb 0.042431 | LRC 0.699499 | LFunc 0.640261 | time 0.700000 | ACC 0.756875 | 
2026-04-26-10-48: epoch: 3 |loss 0.216341 | LProb 0.057255 | LRC 0.693597 | LFunc 0.616059 | time 7.966667 | loss 0.195446 | LProb 0.037153 | LRC 0.670326 | LFunc 0.637693 | time 0.700000 | ACC 0.779375 | 
2026-04-26-10-57: epoch: 4 |loss 0.207774 | LProb 0.055078 | LRC 0.665862 | LFunc 0.616258 | time 7.983333 | loss 0.188042 | LProb 0.037153 | LRC 0.640708 | LFunc 0.636792 | time 0.700000 | ACC 0.747500 | 
2026-04-26-11-06: epoch: 5 |loss 0.197187 | LProb 0.053139 | LRC 0.629332 | LFunc 0.613733 | time 7.966667 | loss 0.178762 | LProb 0.036489 | LRC 0.605581 | LFunc 0.633685 | time 0.700000 | ACC 0.761875 | 
2026-04-26-11-14: epoch: 6 |loss 0.188392 | LProb 0.051999 | LRC 0.597568 | LFunc 0.610311 | time 7.950000 | loss 0.168900 | LProb 0.037030 | LRC 0.564513 | LFunc 0.633177 | time 0.700000 | ACC 0.767500 | 
2026-04-26-11-23: epoch: 7 |loss 0.177083 | LProb 0.050411 | LRC 0.557100 | LFunc 0.604608 | time 7.950000 | loss 0.159313 | LProb 0.038874 | LRC 0.520630 | LFunc 0.629573 | time 0.700000 | ACC 0.745625 | 
2026-04-26-11-32: epoch: 8 |loss 0.166507 | LProb 0.050116 | LRC 0.515679 | LFunc 0.602039 | time 7.966667 | loss 0.144641 | LProb 0.034865 | LRC 0.473968 | LFunc 0.625684 | time 0.700000 | ACC 0.777500 | 
2026-04-26-11-40: epoch: 9 |loss 0.154665 | LProb 0.049136 | LRC 0.471252 | LFunc 0.601697 | time 7.966667 | loss 0.131961 | LProb 0.033994 | LRC 0.425862 | LFunc 0.624578 | time 0.700000 | ACC 0.741250 | 
2026-04-26-11-49: epoch: 10 |loss 0.141987 | LProb 0.048046 | LRC 0.423812 | LFunc 0.602219 | time 7.983333 | loss 0.119776 | LProb 0.033541 | LRC 0.378480 | LFunc 0.623512 | time 0.700000 | ACC 0.764375 | 
2026-04-26-11-58: epoch: 11 |loss 0.130080 | LProb 0.047155 | LRC 0.378857 | LFunc 0.596289 | time 7.966667 | loss 0.107663 | LProb 0.032097 | LRC 0.334363 | LFunc 0.621355 | time 0.700000 | ACC 0.771875 | 
2026-04-26-12-06: epoch: 12 |loss 0.119384 | LProb 0.046582 | LRC 0.337789 | LFunc 0.592249 | time 7.983333 | loss 0.101036 | LProb 0.037355 | LRC 0.292081 | LFunc 0.618003 | time 0.700000 | ACC 0.751250 | 
2026-04-26-12-15: epoch: 13 |loss 0.109274 | LProb 0.045962 | LRC 0.299211 | LFunc 0.590982 | time 7.983333 | loss 0.092504 | LProb 0.038880 | LRC 0.253374 | LFunc 0.621099 | time 0.700000 | ACC 0.770000 | 
2026-04-26-12-24: epoch: 14 |loss 0.099836 | LProb 0.045162 | LRC 0.263856 | LFunc 0.592494 | time 7.933333 | loss 0.081582 | LProb 0.035704 | LRC 0.219213 | LFunc 0.619446 | time 0.683333 | ACC 0.742500 | 
2026-04-26-12-32: epoch: 15 |loss 0.091371 | LProb 0.044525 | LRC 0.231908 | LFunc 0.596443 | time 7.866667 | loss 0.070704 | LProb 0.031634 | LRC 0.187916 | LFunc 0.617230 | time 0.683333 | ACC 0.766875 | 
2026-04-26-12-41: epoch: 16 |loss 0.086342 | LProb 0.043973 | LRC 0.213450 | LFunc 0.587206 | time 7.850000 | loss 0.071142 | LProb 0.033251 | LRC 0.184817 | LFunc 0.616244 | time 0.683333 | ACC 0.786875 | 
2026-04-26-12-50: epoch: 17 |loss 0.085541 | LProb 0.043789 | LRC 0.210798 | LFunc 0.586322 | time 7.866667 | loss 0.067140 | LProb 0.028478 | LRC 0.183125 | LFunc 0.616354 | time 0.683333 | ACC 0.768750 | 
2026-04-26-12-58: epoch: 18 |loss 0.084645 | LProb 0.043943 | LRC 0.206753 | LFunc 0.588625 | time 7.850000 | loss 0.065988 | LProb 0.028151 | LRC 0.179499 | LFunc 0.616268 | time 0.683333 | ACC 0.750000 | 
2026-04-26-13-07: epoch: 19 |loss 0.084403 | LProb 0.043900 | LRC 0.205911 | LFunc 0.582501 | time 7.900000 | loss 0.064050 | LProb 0.026542 | LRC 0.176573 | LFunc 0.616230 | time 0.683333 | ACC 0.781250 | 
2026-04-26-13-15: epoch: 20 |loss 0.082772 | LProb 0.043649 | LRC 0.200140 | LFunc 0.591207 | time 7.866667 | loss 0.067672 | LProb 0.032065 | LRC 0.174495 | LFunc 0.616612 | time 0.683333 | ACC 0.771250 | 
