2026-04-26-03-32: epoch: 1 |loss 0.313227 | LProb 0.067392 | LRC 0.753033 | LFunc 0.462077 | time 5.283333 | loss 0.269201 | LProb 0.053160 | LRC 0.718496 | LFunc 0.368615 | time 0.516667 | ACC 0.806250 | 
2026-04-26-03-38: epoch: 2 |loss 0.229890 | LProb 0.067014 | LRC 0.714260 | LFunc 0.232018 | time 5.200000 | loss 0.203490 | LProb 0.051044 | LRC 0.684727 | LFunc 0.191541 | time 0.483333 | ACC 0.807500 | 
2026-04-26-03-43: epoch: 3 |loss 0.201898 | LProb 0.063875 | LRC 0.686994 | LFunc 0.166385 | time 5.216667 | loss 0.185960 | LProb 0.040025 | LRC 0.661088 | LFunc 0.167298 | time 0.483333 | ACC 0.827500 | 
2026-04-26-03-49: epoch: 4 |loss 0.191233 | LProb 0.061339 | LRC 0.655840 | LFunc 0.153772 | time 5.200000 | loss 0.177403 | LProb 0.039787 | LRC 0.625958 | LFunc 0.159547 | time 0.483333 | ACC 0.810000 | 
2026-04-26-03-55: epoch: 5 |loss 0.182727 | LProb 0.058874 | LRC 0.623767 | LFunc 0.147988 | time 5.200000 | loss 0.169596 | LProb 0.039291 | LRC 0.590454 | LFunc 0.154624 | time 0.483333 | ACC 0.820625 | 
2026-04-26-04-01: epoch: 6 |loss 0.174174 | LProb 0.056821 | LRC 0.587799 | LFunc 0.143390 | time 5.216667 | loss 0.163563 | LProb 0.040460 | LRC 0.556669 | LFunc 0.151665 | time 0.483333 | ACC 0.832500 | 
2026-04-26-04-06: epoch: 7 |loss 0.165636 | LProb 0.054940 | LRC 0.549689 | LFunc 0.139654 | time 5.216667 | loss 0.155889 | LProb 0.041331 | LRC 0.511845 | LFunc 0.149749 | time 0.483333 | ACC 0.806250 | 
2026-04-26-04-12: epoch: 8 |loss 0.157547 | LProb 0.054151 | LRC 0.506375 | LFunc 0.138226 | time 5.183333 | loss 0.147052 | LProb 0.040111 | LRC 0.466390 | LFunc 0.147794 | time 0.483333 | ACC 0.833125 | 
2026-04-26-04-18: epoch: 9 |loss 0.149094 | LProb 0.052844 | LRC 0.463563 | LFunc 0.136234 | time 5.183333 | loss 0.137043 | LProb 0.036855 | LRC 0.419904 | LFunc 0.145894 | time 0.483333 | ACC 0.816250 | 
2026-04-26-04-23: epoch: 10 |loss 0.139800 | LProb 0.051635 | LRC 0.415107 | LFunc 0.134394 | time 5.183333 | loss 0.129062 | LProb 0.037386 | LRC 0.372856 | LFunc 0.144679 | time 0.483333 | ACC 0.848750 | 
2026-04-26-04-29: epoch: 11 |loss 0.132058 | LProb 0.050589 | LRC 0.375720 | LFunc 0.132430 | time 5.166667 | loss 0.120615 | LProb 0.036922 | LRC 0.327570 | LFunc 0.142677 | time 0.483333 | ACC 0.856250 | 
2026-04-26-04-35: epoch: 12 |loss 0.124560 | LProb 0.049934 | LRC 0.334383 | LFunc 0.131587 | time 5.150000 | loss 0.114766 | LProb 0.039804 | LRC 0.286553 | LFunc 0.141317 | time 0.483333 | ACC 0.855000 | 
2026-04-26-04-40: epoch: 13 |loss 0.116629 | LProb 0.049238 | LRC 0.291787 | LFunc 0.130138 | time 5.183333 | loss 0.106911 | LProb 0.038054 | LRC 0.247360 | LFunc 0.139971 | time 0.483333 | ACC 0.853125 | 
2026-04-26-04-46: epoch: 14 |loss 0.110283 | LProb 0.048649 | LRC 0.258944 | LFunc 0.128402 | time 5.183333 | loss 0.101954 | LProb 0.039895 | LRC 0.213720 | LFunc 0.139159 | time 0.483333 | ACC 0.860000 | 
2026-04-26-04-52: epoch: 15 |loss 0.104395 | LProb 0.047997 | LRC 0.226884 | LFunc 0.127748 | time 5.183333 | loss 0.095966 | LProb 0.038691 | LRC 0.183317 | LFunc 0.138202 | time 0.483333 | ACC 0.870625 | 
2026-04-26-04-57: epoch: 16 |loss 0.101495 | LProb 0.047458 | LRC 0.212255 | LFunc 0.127170 | time 5.183333 | loss 0.096158 | LProb 0.040070 | LRC 0.180645 | LFunc 0.138047 | time 0.483333 | ACC 0.872500 | 
2026-04-26-05-03: epoch: 17 |loss 0.100563 | LProb 0.047234 | LRC 0.207321 | LFunc 0.127178 | time 5.183333 | loss 0.094125 | LProb 0.036534 | LRC 0.178844 | LFunc 0.138152 | time 0.483333 | ACC 0.870625 | 
2026-04-26-05-09: epoch: 18 |loss 0.100015 | LProb 0.047267 | LRC 0.203971 | LFunc 0.127158 | time 5.166667 | loss 0.092398 | LProb 0.034428 | LRC 0.175270 | LFunc 0.137917 | time 0.483333 | ACC 0.867500 | 
2026-04-26-05-14: epoch: 19 |loss 0.099966 | LProb 0.047313 | LRC 0.203312 | LFunc 0.127272 | time 5.183333 | loss 0.091983 | LProb 0.034145 | LRC 0.173621 | LFunc 0.137922 | time 0.483333 | ACC 0.880000 | 
2026-04-26-05-20: epoch: 20 |loss 0.098404 | LProb 0.047019 | LRC 0.196519 | LFunc 0.126424 | time 5.183333 | loss 0.093874 | LProb 0.039026 | LRC 0.170184 | LFunc 0.137992 | time 0.483333 | ACC 0.880625 | 
