2026-04-26-04-37: epoch: 1 |loss 0.267557 | LProb 0.069083 | LRC 0.760471 | LFunc 0.318812 | time 8.133333 | loss 0.203784 | LProb 0.043581 | LRC 0.720541 | LFunc 0.185709 | time 0.750000 | ACC 0.801875 | 
2026-04-26-04-46: epoch: 2 |loss 0.205565 | LProb 0.063925 | LRC 0.724430 | LFunc 0.158595 | time 8.033333 | loss 0.193908 | LProb 0.048803 | LRC 0.699506 | LFunc 0.158765 | time 0.700000 | ACC 0.811250 | 
2026-04-26-04-54: epoch: 3 |loss 0.193514 | LProb 0.059904 | LRC 0.693597 | LFunc 0.143887 | time 8.050000 | loss 0.182567 | LProb 0.040748 | LRC 0.670363 | LFunc 0.151397 | time 0.700000 | ACC 0.830000 | 
2026-04-26-05-03: epoch: 4 |loss 0.185725 | LProb 0.057063 | LRC 0.665863 | LFunc 0.138649 | time 8.050000 | loss 0.176548 | LProb 0.040598 | LRC 0.640736 | LFunc 0.148380 | time 0.700000 | ACC 0.819375 | 
2026-04-26-05-12: epoch: 5 |loss 0.177791 | LProb 0.054814 | LRC 0.629332 | LFunc 0.136488 | time 8.050000 | loss 0.169012 | LProb 0.038915 | LRC 0.605565 | LFunc 0.145882 | time 0.700000 | ACC 0.817500 | 
2026-04-26-05-21: epoch: 6 |loss 0.170783 | LProb 0.053453 | LRC 0.597567 | LFunc 0.133385 | time 8.033333 | loss 0.161114 | LProb 0.037886 | LRC 0.564532 | LFunc 0.144249 | time 0.716667 | ACC 0.830000 | 
2026-04-26-05-30: epoch: 7 |loss 0.162440 | LProb 0.051598 | LRC 0.557100 | LFunc 0.131374 | time 8.133333 | loss 0.153962 | LProb 0.039178 | LRC 0.520615 | LFunc 0.142812 | time 0.716667 | ACC 0.816250 | 
2026-04-26-05-38: epoch: 8 |loss 0.155017 | LProb 0.050944 | LRC 0.515680 | LFunc 0.130795 | time 8.166667 | loss 0.143836 | LProb 0.035051 | LRC 0.473974 | LFunc 0.141944 | time 0.716667 | ACC 0.856250 | 
2026-04-26-05-47: epoch: 9 |loss 0.146793 | LProb 0.049751 | LRC 0.471254 | LFunc 0.130123 | time 8.183333 | loss 0.133695 | LProb 0.031717 | LRC 0.425879 | LFunc 0.140571 | time 0.716667 | ACC 0.865000 | 
2026-04-26-05-56: epoch: 10 |loss 0.137657 | LProb 0.048673 | LRC 0.423814 | LFunc 0.128054 | time 8.183333 | loss 0.124845 | LProb 0.031409 | LRC 0.378485 | LFunc 0.138178 | time 0.700000 | ACC 0.885625 | 
2026-04-26-06-05: epoch: 11 |loss 0.129009 | LProb 0.047835 | LRC 0.378858 | LFunc 0.125845 | time 8.183333 | loss 0.116153 | LProb 0.029517 | LRC 0.334378 | LFunc 0.136994 | time 0.716667 | ACC 0.889375 | 
2026-04-26-06-14: epoch: 12 |loss 0.121745 | LProb 0.047241 | LRC 0.337789 | LFunc 0.125479 | time 8.166667 | loss 0.110267 | LProb 0.032551 | LRC 0.292091 | LFunc 0.135930 | time 0.716667 | ACC 0.880000 | 
2026-04-26-06-23: epoch: 13 |loss 0.115316 | LProb 0.047605 | LRC 0.299211 | LFunc 0.124934 | time 8.183333 | loss 0.104966 | LProb 0.035258 | LRC 0.253378 | LFunc 0.135324 | time 0.716667 | ACC 0.889375 | 
2026-04-26-06-32: epoch: 14 |loss 0.107938 | LProb 0.045643 | LRC 0.263857 | LFunc 0.123421 | time 8.200000 | loss 0.097811 | LProb 0.032924 | LRC 0.219214 | LFunc 0.134439 | time 0.700000 | ACC 0.876250 | 
2026-04-26-06-41: epoch: 15 |loss 0.102002 | LProb 0.045009 | LRC 0.231908 | LFunc 0.122539 | time 8.200000 | loss 0.090717 | LProb 0.029843 | LRC 0.187918 | LFunc 0.133427 | time 0.716667 | ACC 0.893125 | 
2026-04-26-06-50: epoch: 16 |loss 0.098459 | LProb 0.044523 | LRC 0.213452 | LFunc 0.121867 | time 8.183333 | loss 0.090744 | LProb 0.031072 | LRC 0.184818 | LFunc 0.133214 | time 0.716667 | ACC 0.893750 | 
2026-04-26-06-59: epoch: 17 |loss 0.097931 | LProb 0.044353 | LRC 0.210800 | LFunc 0.121865 | time 8.166667 | loss 0.088462 | LProb 0.026964 | LRC 0.183133 | LFunc 0.133372 | time 0.716667 | ACC 0.890000 | 
2026-04-26-07-08: epoch: 18 |loss 0.097397 | LProb 0.044464 | LRC 0.206754 | LFunc 0.122117 | time 8.166667 | loss 0.087095 | LProb 0.025571 | LRC 0.179495 | LFunc 0.133182 | time 0.716667 | ACC 0.887500 | 
2026-04-26-07-17: epoch: 19 |loss 0.097211 | LProb 0.044447 | LRC 0.205912 | LFunc 0.122006 | time 8.183333 | loss 0.086402 | LProb 0.025064 | LRC 0.176576 | LFunc 0.133321 | time 0.700000 | ACC 0.898750 | 
2026-04-26-07-25: epoch: 20 |loss 0.095890 | LProb 0.044182 | LRC 0.200142 | LFunc 0.121327 | time 8.200000 | loss 0.088711 | LProb 0.030489 | LRC 0.174495 | LFunc 0.133152 | time 0.716667 | ACC 0.883125 | 
