2026-04-26-09-29: epoch: 1 |loss 0.349389 | LProb 0.349389 | LRC 0.748117 | LFunc 0.577885 | time 4.083333 | loss 0.191297 | LProb 0.191297 | LRC 0.757277 | LFunc 0.597344 | time 0.383333 | ACC 0.742500 | 
2026-04-26-09-34: epoch: 2 |loss 0.200024 | LProb 0.200024 | LRC 0.748109 | LFunc 0.575531 | time 3.966667 | loss 0.077822 | LProb 0.077822 | LRC 0.758314 | LFunc 0.603426 | time 0.350000 | ACC 0.728750 | 
2026-04-26-09-38: epoch: 3 |loss 0.154461 | LProb 0.154461 | LRC 0.748101 | LFunc 0.582900 | time 3.983333 | loss 0.069740 | LProb 0.069740 | LRC 0.758308 | LFunc 0.607971 | time 0.350000 | ACC 0.751875 | 
2026-04-26-09-43: epoch: 4 |loss 0.136480 | LProb 0.136480 | LRC 0.748094 | LFunc 0.587816 | time 3.983333 | loss 0.061113 | LProb 0.061113 | LRC 0.758285 | LFunc 0.613224 | time 0.350000 | ACC 0.727500 | 
2026-04-26-09-47: epoch: 5 |loss 0.124672 | LProb 0.124672 | LRC 0.748086 | LFunc 0.593628 | time 3.983333 | loss 0.055548 | LProb 0.055548 | LRC 0.758275 | LFunc 0.619191 | time 0.350000 | ACC 0.739375 | 
2026-04-26-09-51: epoch: 6 |loss 0.115148 | LProb 0.115148 | LRC 0.748078 | LFunc 0.599759 | time 3.966667 | loss 0.053742 | LProb 0.053742 | LRC 0.758235 | LFunc 0.626775 | time 0.350000 | ACC 0.740625 | 
2026-04-26-09-56: epoch: 7 |loss 0.107644 | LProb 0.107644 | LRC 0.748071 | LFunc 0.602183 | time 3.983333 | loss 0.056511 | LProb 0.056511 | LRC 0.758239 | LFunc 0.627391 | time 0.350000 | ACC 0.729375 | 
2026-04-26-10-00: epoch: 8 |loss 0.102107 | LProb 0.102107 | LRC 0.748064 | LFunc 0.604544 | time 3.983333 | loss 0.050459 | LProb 0.050459 | LRC 0.758214 | LFunc 0.630069 | time 0.350000 | ACC 0.751875 | 
2026-04-26-10-04: epoch: 9 |loss 0.096703 | LProb 0.096703 | LRC 0.748056 | LFunc 0.610783 | time 3.983333 | loss 0.046173 | LProb 0.046173 | LRC 0.758202 | LFunc 0.636907 | time 0.350000 | ACC 0.706875 | 
2026-04-26-10-09: epoch: 10 |loss 0.091435 | LProb 0.091435 | LRC 0.748048 | LFunc 0.617474 | time 3.983333 | loss 0.046101 | LProb 0.046101 | LRC 0.758258 | LFunc 0.635640 | time 0.350000 | ACC 0.752500 | 
2026-04-26-10-13: epoch: 11 |loss 0.086466 | LProb 0.086466 | LRC 0.748041 | LFunc 0.614529 | time 3.983333 | loss 0.045016 | LProb 0.045016 | LRC 0.758177 | LFunc 0.638690 | time 0.350000 | ACC 0.745625 | 
2026-04-26-10-17: epoch: 12 |loss 0.082265 | LProb 0.082265 | LRC 0.748033 | LFunc 0.615947 | time 3.983333 | loss 0.051663 | LProb 0.051663 | LRC 0.758199 | LFunc 0.640279 | time 0.350000 | ACC 0.714375 | 
2026-04-26-10-22: epoch: 13 |loss 0.077866 | LProb 0.077866 | LRC 0.748026 | LFunc 0.618742 | time 3.983333 | loss 0.045184 | LProb 0.045184 | LRC 0.758141 | LFunc 0.642219 | time 0.350000 | ACC 0.734375 | 
2026-04-26-10-26: epoch: 14 |loss 0.073856 | LProb 0.073856 | LRC 0.748018 | LFunc 0.622614 | time 4.000000 | loss 0.044698 | LProb 0.044698 | LRC 0.758137 | LFunc 0.644142 | time 0.350000 | ACC 0.703750 | 
2026-04-26-10-30: epoch: 15 |loss 0.070182 | LProb 0.070182 | LRC 0.748011 | LFunc 0.628779 | time 3.983333 | loss 0.041947 | LProb 0.041947 | LRC 0.758181 | LFunc 0.646610 | time 0.350000 | ACC 0.728750 | 
2026-04-26-10-35: epoch: 16 |loss 0.067893 | LProb 0.067893 | LRC 0.748006 | LFunc 0.622907 | time 3.983333 | loss 0.044367 | LProb 0.044367 | LRC 0.748571 | LFunc 0.645603 | time 0.350000 | ACC 0.743125 | 
2026-04-26-10-39: epoch: 17 |loss 0.067389 | LProb 0.067389 | LRC 0.748006 | LFunc 0.621488 | time 3.983333 | loss 0.039301 | LProb 0.039301 | LRC 0.748567 | LFunc 0.645616 | time 0.350000 | ACC 0.734375 | 
2026-04-26-10-43: epoch: 18 |loss 0.067259 | LProb 0.067259 | LRC 0.748005 | LFunc 0.623439 | time 3.983333 | loss 0.038669 | LProb 0.038669 | LRC 0.748525 | LFunc 0.646295 | time 0.350000 | ACC 0.715625 | 
2026-04-26-10-48: epoch: 19 |loss 0.066866 | LProb 0.066866 | LRC 0.748005 | LFunc 0.618461 | time 3.983333 | loss 0.036410 | LProb 0.036410 | LRC 0.748546 | LFunc 0.646471 | time 0.350000 | ACC 0.749375 | 
2026-04-26-10-52: epoch: 20 |loss 0.066359 | LProb 0.066359 | LRC 0.748004 | LFunc 0.626544 | time 3.983333 | loss 0.041415 | LProb 0.041415 | LRC 0.748539 | LFunc 0.645905 | time 0.350000 | ACC 0.719375 | 
